x,y,px,py
0.24315436065903223,45.00105734402991,-0.1213211769009328,10.050689014555875
0.06409481770514008,45.60409868490323,-0.16979052529495314,10.050689014555875
-0.13964562191174767,46.207140025776546,-0.1591884127768288,10.050689014555875
-0.2967800000105764,46.810181366649864,-0.09252701707314268,10.050689014555875
-0.3515362094081761,47.41322270752318,0.007448532500618143,10.050689014555875
-0.28343993443369936,48.0162640483965,0.1060135771051887,10.050689014555875
-0.11493435677919915,48.61930538926982,0.1685199669626633,10.050689014555875
0.09598737260254366,49.22234673014314,0.17257071710400426,10.050689014555875
0.27572916635178363,49.825388071016455,0.1160371096343798,10.050689014555875
0.3607619042107549,50.42842941188977,0.018051233722529533,10.050689014555875
0.3200660755466165,51.03147075276309,-0.08745954486909552,10.050689014555875
0.166422922099034,51.63451209363641,-0.16351450905920414,10.050689014555875
-0.04754767864446949,52.23755343450973,-0.18303602792086052,10.050689014555875
-0.24739457242382426,52.840594775383046,-0.13848288019000413,10.050689014555875
-0.36273049505083155,53.443636116256364,-0.044735661256669404,10.050689014555875
-0.3520118961698783,54.04667745712968,0.06586096038808797,10.050689014555875
-0.21748349321474,54.649718798003,0.15465187445315495,10.050689014555875
-0.004918043849468081,55.25276013887632,0.19017696110217666,10.050689014555875
0.2119407309662523,55.85580147974964,0.1593115324408109,10.050689014555875
0.3569506579006786,56.458842820622955,0.07209901336961821,10.050689014555875
0.37829494869812075,57.06188416149627,-0.04149824075376034,10.050689014555875
0.2669817577385309,57.66492550236959,-0.1418859159204544,10.050689014555875
0.06052032901594859,58.26796684324291,-0.19363307791884318,10.050689014555875
-0.16969678985064618,58.87100818411623,-0.1779711843507008,10.050689014555875
-0.3430688133149665,59.474049524989546,-0.0995895597013477,10.050689014555875
-0.39799491805258796,60.077090865862864,0.014729110686043698,10.050689014555875
-0.31374718077442537,60.68013220673618,0.12525232351088927,10.050689014555875
-0.11824667333441385,61.2831735476095,0.19310160745324317,10.050689014555875
0.12115956783383573,61.88621488848282,0.19392289878217245,10.050689014555875
0.3208853129462757,62.48925622935614,0.12661870390767294,10.050689014555875
0.4102774304882397,63.092297570229455,0.014014380058526562,10.050689014555875
0.3565961627104184,63.69533891110277,-0.10487290911279958,10.050689014555875
0.17697589798705904,64.29838025197616,-0.18834758062961557,10.050689014555875
-0.06699314003686072,64.90142159284962,-0.20665317696461633,10.050689014555875
-0.2903682868363601,65.50446293372308,-0.15257147542352736,10.050689014555875
-0.4144174695289191,66.10750427459654,-0.04423063627458515,10.050689014555875
-0.3943569120174047,66.71054561547,0.08095828730110058,10.050689014555875
-0.23549575697048553,67.31358695634346,0.17921311961040956,10.050689014555875
0.008024768858174944,67.91662829721692,0.21568667233701794,10.050689014555875
0.25166470643652217,68.51966963809038,0.17681824203294996,10.050689014555875
0.40982186669169907,69.12271097896384,0.07535510127435364,10.050689014555875
0.4258955994091306,69.7257523198373,-0.053808795165770855,10.050689014555875
0.2925236095602592,70.32879366071076,-0.16562562879504325,10.050689014555875
0.05476295730637647,70.93183500158422,-0.22059886253720803,10.050689014555875
-0.2051082512090447,71.53487634245768,-0.1987274645860516,10.050689014555875
-0.3960503218281793,72.13791768333114,-0.10676861392227845,10.050689014555875
-0.450143305109267,72.7409590242046,0.023813522302610857,10.050689014555875
-0.3467298980292119,73.34400036507806,0.14760464180239807,10.050689014555875
-0.12024384139322498,73.94704170595152,0.22102840200777252,10.050689014555875
0.15122361053622188,74.55008304682498,0.21767928154769828,10.050689014555875
0.37283440611236063,75.15312438769844,0.13780746702190916,10.050689014555875
0.46612322358140856,75.7561657285719,0.008552644811482758,10.050689014555875
0.3967640946383581,76.35920706944536,-0.12526709279595774,10.050689014555875
0.18716363518996437,76.96224841031882,-0.2166888674623184,10.050689014555875
-0.09072690724071668,77.56528975119228,-0.23307967993321643,10.050689014555875
-0.340094010662987,78.16833109206574,-0.1677750539917399,10.050689014555875
-0.4729775513797846,78.7713724329392,-0.04273402267550702,10.050689014555875
-0.44128270757447496,79.37441377381266,0.09883080037800769,10.050689014555875
-0.2541593368824653,79.97745511468612,0.2073796038406205,10.050689014555875
0.02452199377816186,80.58049645555958,0.2443749814146555,10.050689014555875
